Wall time,Step,Value
1653139260.470211,6,0.016730980947613716
1653139277.614292,12,0.011446429416537285
1653139285.921286,15,0.036568231880664825
1653139289.397884,16,0.05444112792611122
1653139297.45221,19,0.11131168901920319
1653139316.63896,25,0.13481532037258148
1653139369.080337,37,0.0734763965010643
1653139381.96552,41,0.0850580707192421
1653139387.663758,43,0.07580214738845825
1653139393.012261,45,0.0879436805844307
1653139396.140144,46,0.06935115903615952
1653139402.852735,48,0.06851457804441452
1653139422.893582,54,0.05580804869532585
1653139425.671061,55,0.05386126786470413
1653139428.591511,56,0.05096100643277168
1653139432.667117,57,0.05599672719836235
1653139501.653671,66,0.08036361634731293
1653139516.302954,69,0.09943443536758423
1653139519.980825,72,0.0962071344256401
1653139523.47239,73,0.09919776022434235
1653139526.791666,74,0.11909154057502747
1653139530.536797,75,0.0943463072180748
1653139544.280851,80,0.07392910867929459
1653139563.156578,88,0.09431959688663483
1653139563.871564,89,0.04446590691804886
1653139579.270671,95,0.09381075948476791
1653139615.578081,103,0.061109695583581924
1653139628.7149,106,0.0732138380408287
1653139631.648837,107,0.06516281515359879
1653139651.347831,114,0.04963792860507965
1653139665.679921,119,0.05471222102642059
1653139691.270246,127,0.05460621789097786
1653139699.452755,130,0.08008647710084915
1653139702.223903,131,0.06860065460205078
1653139726.577517,140,0.06640241295099258
1653139739.264371,142,0.05468640476465225
1653139742.175048,143,0.05939069017767906
1653139748.351697,144,0.07585407793521881
1653139770.932367,151,0.05351284518837929
1653139784.975613,156,0.05243447422981262
1653139791.980827,158,0.0625881552696228
1653139794.929179,159,0.045514557510614395
1653139810.308344,163,0.07552292943000793
1653139830.081366,168,0.06750623136758804
1653139833.215569,169,0.07490729540586472
1653139843.904383,172,0.05821052938699722
1653139872.339116,178,0.06656702607870102
1653139875.09714,179,0.0791468471288681
1653139880.964655,181,0.05883999913930893
1653139890.262101,184,0.07116679847240448
1653139895.921765,186,0.05911002308130264
1653139898.90589,187,0.0667807087302208
1653139904.89959,189,0.08943086117506027
1653139910.599463,191,0.08235941082239151
1653139913.271261,192,0.06257916986942291
1653139932.748793,199,0.07669220119714737
1653139959.127978,207,0.06670770794153214
1653139961.349809,208,0.0993129312992096
1653139963.787741,209,0.045956581830978394
1653139974.760829,213,0.07479516416788101
1653140015.479145,223,0.08321984857320786
1653140018.178653,224,0.08040761947631836
1653140023.820197,226,0.08643598854541779
1653140037.244019,230,0.09492512792348862
1653140047.452974,233,0.08008857816457748
1653140050.714329,234,0.09053074568510056
1653140054.780168,235,0.0867229551076889
1653140064.379373,238,0.08450447767972946
1653140104.034314,250,0.08145208656787872
1653140135.442908,256,0.08879988640546799
1653140145.13628,259,0.08903858065605164
1653140152.008792,261,0.09219726175069809
1653140154.869605,262,0.0925162062048912
1653140160.341015,264,0.07336710393428802
1653140171.483948,268,0.09617164731025696
1653140183.419016,272,0.09152478724718094
1653140188.854225,274,0.06937544047832489
1653140205.603922,279,0.09268934279680252
1653140254.197784,293,0.07626265287399292
1653140268.475731,298,0.09127826243638992
1653140271.660654,299,0.06932041794061661
1653140286.955223,303,0.06573689728975296
1653140289.922099,304,0.06557771563529968
1653140304.793463,308,0.07720115780830383
1653140307.552059,309,0.0861944928765297
1653140313.15315,311,0.07295526564121246
1653140321.575814,314,0.08070375770330429
1653140335.889385,319,0.07835959643125534
1653140338.246259,320,0.06605297327041626
1653140341.235519,321,0.09433417022228241
1653140358.616221,326,0.09275418519973755
1653140369.046395,327,0.07644088566303253
1653140372.212004,328,0.06760729849338531
1653140382.550074,331,0.0880894809961319
1653140422.720019,340,0.06679180264472961
1653140429.737511,342,0.0790558010339737
1653140450.260192,348,0.08570604026317596
1653140470.90314,354,0.07199297100305557
1653140489.588792,361,0.11385805159807205
1653140506.481809,364,0.08037173002958298
1653140520.884495,368,0.08739998191595078
1653140532.370889,372,0.06773800402879715
1653140539.042685,374,0.07800089567899704
1653140555.728413,378,0.10285087674856186
1653140558.663863,379,0.08230570703744888
1653140562.494176,380,0.08412478119134903
1653140568.634896,382,0.10421441495418549
1653140586.739706,387,0.05952707305550575
1653140614.100802,392,0.06889209151268005
1653140620.905774,393,0.0828559622168541
1653140677.798091,409,0.04448714107275009
1653140704.421455,416,0.061586473137140274
1653140722.051396,422,0.07475064694881439
1653140724.863628,423,0.07025112211704254
1653140730.85496,425,0.0725603699684143
1653140753.159896,431,0.06956019997596741
1653140778.592531,440,0.11320216953754425
1653140784.472636,442,0.07822517305612564
1653140787.689792,443,0.05756349489092827
1653140797.559387,446,0.06468407809734344
1653140817.722346,452,0.06450612097978592
1653140853.968472,460,0.06356936693191528
