Wall time,Step,Value
1653139260.469913,6,7.273885726928711
1653139277.614126,12,4.746424674987793
1653139285.921092,15,4.270834922790527
1653139289.397547,16,4.291946887969971
1653139297.45202,19,3.8835160732269287
1653139316.638803,25,3.9633841514587402
1653139369.080127,37,3.884305953979492
1653139381.96499,41,3.8607687950134277
1653139387.6636,43,3.777723789215088
1653139393.011706,45,3.674705743789673
1653139396.139951,46,3.629284620285034
1653139402.852535,48,3.5979578495025635
1653139422.893418,54,3.655393123626709
1653139425.670831,55,3.616886854171753
1653139428.591349,56,3.589021921157837
1653139432.666865,57,3.6541385650634766
1653139501.653121,66,3.646331548690796
1653139516.302107,69,4.0191969871521
1653139519.980656,72,3.8100638389587402
1653139523.472223,73,3.8217294216156006
1653139526.79139,74,3.8091347217559814
1653139530.536626,75,3.8529131412506104
1653139544.280528,80,3.836893081665039
1653139563.156426,88,3.6627626419067383
1653139563.871364,89,3.6103720664978027
1653139579.270107,95,3.460840940475464
1653139615.577665,103,3.229752779006958
1653139628.71475,106,3.363539457321167
1653139631.648672,107,3.3629226684570312
1653139651.347672,114,3.31119966506958
1653139665.679746,119,3.274600028991699
1653139691.269884,127,3.197251558303833
1653139699.452587,130,3.1077780723571777
1653139702.223735,131,3.095579147338867
1653139726.577085,140,2.8793609142303467
1653139739.264214,142,2.8773274421691895
1653139742.17487,143,2.875040292739868
1653139748.351539,144,3.046694278717041
1653139770.93214,151,3.0149002075195312
1653139784.975434,156,2.9854137897491455
1653139791.980634,158,2.878199338912964
1653139794.928988,159,2.8450803756713867
1653139810.308094,163,2.9559335708618164
1653139830.080151,168,2.7101962566375732
1653139833.215342,169,2.6014721393585205
1653139843.904185,172,2.7305238246917725
1653139872.338418,178,2.5720722675323486
1653139875.096969,179,2.526777744293213
1653139880.96443,181,2.5733814239501953
1653139890.26193,184,2.620145320892334
1653139895.921605,186,2.593472480773926
1653139898.90545,187,2.5876882076263428
1653139904.899362,189,2.566784381866455
1653139910.599159,191,2.623892307281494
1653139913.270689,192,2.6102747917175293
1653139932.748632,199,2.439922571182251
1653139959.127762,207,2.32464861869812
1653139961.349382,208,2.2990617752075195
1653139963.787571,209,2.276148796081543
1653139974.760592,213,2.2580912113189697
1653140015.478914,223,2.284024477005005
1653140018.178452,224,2.26682710647583
1653140023.819956,226,2.263780117034912
1653140037.243729,230,2.3539206981658936
1653140047.452808,233,2.4348652362823486
1653140050.714131,234,2.447305679321289
1653140054.779968,235,2.5025343894958496
1653140064.379105,238,2.5340092182159424
1653140104.03414,250,2.415978193283081
1653140135.442704,256,2.595445394515991
1653140145.133797,259,2.6248183250427246
1653140152.008636,261,2.576775074005127
1653140154.869355,262,2.5476162433624268
1653140160.340014,264,2.509441614151001
1653140171.483763,268,2.523381471633911
1653140183.41882,272,2.472120523452759
1653140188.853262,274,2.483909845352173
1653140205.603705,279,2.574256181716919
1653140254.197581,293,2.571181297302246
1653140268.475544,298,2.5868141651153564
1653140271.660476,299,2.5883781909942627
1653140286.954799,303,2.6462743282318115
1653140289.921627,304,2.633202075958252
1653140304.792814,308,2.8687236309051514
1653140307.551867,309,2.8963115215301514
1653140313.152665,311,2.900284767150879
1653140321.57565,314,2.9125049114227295
1653140335.889046,319,2.901822566986084
1653140338.246074,320,2.8847451210021973
1653140341.23534,321,2.8880014419555664
1653140358.616067,326,2.896117925643921
1653140369.046081,327,2.8909425735473633
1653140372.211655,328,2.89465069770813
1653140382.549878,331,2.7746756076812744
1653140422.719619,340,2.756953477859497
1653140429.73267,342,2.787254571914673
1653140450.260038,348,2.833646297454834
1653140470.902888,354,2.6364126205444336
1653140489.588594,361,2.6414318084716797
1653140506.481506,364,2.648327350616455
1653140520.884328,368,2.821749687194824
1653140532.370737,372,2.8220303058624268
1653140539.042533,374,2.8468353748321533
1653140555.728179,378,3.0647988319396973
1653140558.663678,379,2.937325954437256
1653140562.494006,380,2.971269369125366
1653140568.634657,382,2.9752914905548096
1653140586.739502,387,3.0732502937316895
1653140614.100523,392,3.166983127593994
