Wall time,Step,Value
1653139260.469553,6,2.276405096054077
1653139277.613836,12,2.214859962463379
1653139285.92088,15,2.486574411392212
1653139289.39705,16,4.608627796173096
1653139297.451437,19,2.1964194774627686
1653139316.638588,25,5.085190773010254
1653139369.07973,37,6.32785177230835
1653139381.964244,41,1.8973333835601807
1653139387.66339,43,1.7724415063858032
1653139393.011,45,1.3172495365142822
1653139396.139363,46,1.5853372812271118
1653139402.852209,48,2.0433640480041504
1653139422.893076,54,1.784584641456604
1653139425.670456,55,1.5375417470932007
1653139428.591109,56,2.056452512741089
1653139432.666628,57,7.300663471221924
1653139501.637408,66,2.092571258544922
1653139516.301659,69,13.037659645080566
1653139519.980319,72,-1.0
1653139523.471869,73,4.661644458770752
1653139526.790906,74,2.8897347450256348
1653139530.536328,75,7.092505931854248
1653139544.280275,80,-0.42481181025505066
1653139563.156226,88,6.772014617919922
1653139563.870713,89,-1.0
1653139579.269734,95,1.874129295349121
1653139615.576447,103,2.3674631118774414
1653139628.714549,106,1.1570698022842407
1653139631.648363,107,1.921415090560913
1653139651.347443,114,0.9727088809013367
1653139665.679466,119,2.184863567352295
1653139691.26909,127,2.0134835243225098
1653139699.452335,130,1.7164973020553589
1653139702.223463,131,1.6203705072402954
1653139726.576705,140,1.648248314857483
1653139739.263997,142,2.6873276233673096
1653139742.17457,143,1.5437120199203491
1653139748.351317,144,18.767797470092773
1653139770.931795,151,1.0857006311416626
1653139784.975201,156,2.1344799995422363
1653139791.980253,158,3.335965871810913
1653139794.927784,159,1.9198771715164185
1653139810.307701,163,5.698391914367676
1653139830.079373,168,1.6755633354187012
1653139833.214838,169,2.1652474403381348
1653139843.903751,172,1.3215715885162354
1653139872.337668,178,2.4702014923095703
1653139875.096684,179,0.6980437636375427
1653139880.964196,181,1.4081079959869385
1653139890.261683,184,2.1213576793670654
1653139895.921349,186,1.4555634260177612
1653139898.904824,187,1.1261948347091675
1653139904.899004,189,1.0127226114273071
1653139910.598873,191,1.8320133686065674
1653139913.269565,192,1.3366663455963135
1653139932.748378,199,2.5248212814331055
1653139959.127443,207,0.7362732291221619
1653139961.348773,208,-1.0
1653139963.787331,209,-0.82146817445755
1653139974.760387,213,1.6355146169662476
1653140015.478343,223,10.492732048034668
1653140018.176696,224,0.631558358669281
1653140023.819711,226,1.3541675806045532
1653140037.243509,230,1.351754069328308
1653140047.45256,233,2.0036303997039795
1653140050.713881,234,3.0503883361816406
1653140054.779606,235,7.095004081726074
1653140064.378597,238,2.3220174312591553
1653140104.033795,250,8.30573558807373
1653140135.442223,256,0.3366056978702545
1653140145.129305,259,3.896836519241333
1653140152.008427,261,2.2524235248565674
1653140154.868971,262,1.825655221939087
1653140160.338698,264,1.4485633373260498
1653140171.483465,268,1.6308809518814087
1653140183.418573,272,1.2210026979446411
1653140188.848961,274,1.6269546747207642
1653140205.603289,279,13.515926361083984
1653140254.197137,293,1.7342026233673096
1653140268.475226,298,1.2919725179672241
1653140271.660157,299,2.681225061416626
1653140286.954406,303,2.5740132331848145
1653140289.921232,304,2.363044261932373
1653140304.79238,308,8.352654457092285
1653140307.551572,309,1.9373403787612915
1653140313.152282,311,1.6378376483917236
1653140321.57541,314,1.4475886821746826
1653140335.888842,319,1.7072144746780396
1653140338.245845,320,0.18137915432453156
1653140341.235055,321,2.129350185394287
1653140358.615838,326,3.1983017921447754
1653140369.045825,327,1.3225017786026
1653140372.211242,328,1.9192665815353394
1653140382.54954,331,3.3991196155548096
1653140422.718673,340,1.7465897798538208
1653140429.732033,342,1.5354560613632202
1653140450.259821,348,2.8067615032196045
1653140470.902643,354,5.453217506408691
1653140489.588142,361,2.677548408508301
1653140506.481083,364,1.795462727546692
1653140520.884106,368,15.640504837036133
1653140532.370524,372,1.7821284532546997
1653140539.04233,374,2.1780571937561035
1653140555.727789,378,5.133113384246826
1653140558.663333,379,0.7686468362808228
1653140562.493552,380,4.090854167938232
1653140568.634237,382,2.260105609893799
1653140586.739228,387,2.4528040885925293
1653140614.100259,392,1.939564824104309
1653140620.905018,393,17.50058364868164
1653140677.797506,409,-1.0
1653140704.420734,416,-1.0
1653140722.049493,422,1.7874805927276611
1653140724.863142,423,1.2764455080032349
1653140730.854475,425,2.6796483993530273
1653140753.159322,431,2.2139363288879395
1653140778.59188,440,1.199580430984497
1653140784.471766,442,2.090214729309082
1653140787.689365,443,2.2717556953430176
1653140797.558899,446,1.5439125299453735
1653140817.721913,452,2.9730677604675293
1653140853.968095,460,6.790815830230713
1653140857.689001,461,5.155529975891113
1653140868.242898,464,2.222341299057007
1653140873.585885,465,15.329304695129395
1653140903.192707,474,12.856269836425781
1653140906.035784,475,2.291602611541748
1653140957.744363,486,4.907149791717529
1653140966.104969,489,1.0430368185043335
1653140969.111031,490,1.8124067783355713
1653140977.12755,492,12.194043159484863
1653140983.154846,494,2.8461060523986816
1653141024.784866,508,7.085369110107422
1653141046.46197,513,5.631656169891357
1653141047.897718,515,-1.0
1653141057.564101,518,2.697969675064087
1653141062.856263,520,1.6182177066802979
1653141109.619503,525,14.533256530761719
1653141112.406982,526,0.9345456957817078
1653141130.220481,532,1.5716906785964966
1653141136.277073,534,2.4821083545684814
1653141139.298244,535,1.4516901969909668
1653141145.696136,537,0.9211727380752563
1653141149.694522,538,7.429410934448242
1653141159.374396,541,0.46677926182746887
1653141166.290121,543,8.475312232971191
1653141181.171269,548,2.318833351135254
1653141184.133373,549,2.093043804168701
1653141209.95353,558,-0.38174980878829956
1653141216.367745,560,1.4329204559326172
1653141228.732175,564,2.3460381031036377
1653141231.539396,565,1.8910534381866455
1653141234.282426,566,1.230869174003601
1653141244.357232,570,-1.0
1653141255.562385,574,-0.46304434537887573
1653141260.053225,575,-0.6276266574859619
1653141270.750987,578,0.07346764951944351
1653141278.155343,580,3.502100706100464
1653141284.762249,582,4.4133429527282715
1653141287.501762,583,2.5529534816741943
1653141290.263003,584,2.900238513946533
1653141293.097938,585,3.116396188735962
1653141298.773544,587,3.6768901348114014
1653141302.954148,588,11.31231689453125
1653141320.381963,593,2.803004741668701
1653141324.838805,594,10.197558403015137
1653141369.226013,601,17.656925201416016
1653141379.397331,603,10.62183952331543
1653141400.578461,609,-1.0
1653141403.510093,611,-1.0
1653141419.979238,616,5.412933826446533
1653141442.072635,621,2.7568697929382324
1653141451.355652,623,27.560998916625977
1653141503.26849,635,5.193416118621826
1653141531.775846,642,4.165999412536621
1653141534.490055,643,1.9142650365829468
1653141544.683062,645,27.632429122924805
1653141548.031701,646,3.0626959800720215
1653141555.130062,647,31.662717819213867
1653141559.839078,648,13.00139331817627
1653141570.543067,650,3.217150926589966
1653141580.265682,653,4.615209102630615
1653141604.035445,657,7.95141077041626
1653141606.977006,658,1.9494481086730957
1653141620.71491,662,4.399670600891113
1653141633.750945,665,15.025965690612793
1653141656.365046,669,8.940033912658691
1653141674.447713,672,3.321262836456299
1653141678.504798,673,7.782991409301758
1653141689.725871,675,26.943279266357422
1653141693.919675,676,10.208978652954102
1653141700.389172,678,3.490506410598755
1653141703.500759,679,3.8364837169647217
1653141706.507452,680,2.7700881958007812
1653141715.857634,683,4.146838665008545
1653141719.617697,684,9.099642753601074
1653141723.014846,685,3.2017159461975098
1653141733.001727,687,16.190839767456055
1653141739.364289,689,5.150487899780273
1653141743.856999,690,-1.0
1653141774.50835,697,37.31327438354492
1653141786.933619,700,12.22305965423584
1653141815.738497,704,9.375641822814941
1653141826.168879,707,10.396075248718262
1653141832.985469,709,4.991244792938232
1653141840.059465,711,4.669941425323486
1653141852.068843,715,1.3650964498519897
1653141863.765632,719,4.950679779052734
1653141880.543126,722,16.78864097595215
1653141894.77528,723,28.4256591796875
1653141897.868416,724,2.5775294303894043
1653141903.30769,725,14.537675857543945
1653141928.821301,731,6.413252830505371
1653141968.445588,737,10.436630249023438
1653141977.709552,739,1.4382243156433105
1653141981.236587,740,6.47901725769043
1653141996.649233,744,8.493907928466797
1653142005.970997,747,2.193345546722412
1653142009.178256,748,4.336542129516602
1653142033.034597,751,15.55843448638916
1653142036.978192,752,8.508708953857422
1653142042.884176,753,22.662260055541992
1653142056.113561,755,6.945038318634033
1653142066.984511,757,19.49922752380371
1653142091.29275,763,-0.37082144618034363
1653142109.621081,766,56.39950942993164
1653142114.563288,767,16.624494552612305
1653142134.561945,770,3.2704734802246094
1653142137.612501,771,3.467014789581299
1653142140.855909,772,4.4271321296691895
1653142147.258696,774,3.1936752796173096
1653142150.685357,775,4.628105163574219
1653142169.584934,781,2.7780253887176514
1653142180.043567,785,3.091190814971924
1653142182.658356,786,2.9322612285614014
1653142193.896339,788,22.44001007080078
1653142213.834873,790,14.97575569152832
1653142221.864011,792,13.92553424835205
1653142224.626158,793,3.172048807144165
1653142227.323392,794,3.0056333541870117
1653142231.714686,795,10.635049819946289
1653142235.623242,796,7.684995174407959
1653142239.112037,799,-1.0
1653142246.492218,801,16.91493797302246
1653142260.923818,803,38.904441833496094
1653142280.807056,806,7.439268589019775
1653142286.83301,808,3.956988573074341
1653142289.772507,809,3.5234124660491943
1653142293.963162,810,13.706043243408203
1653142311.199087,816,-1.0
1653142313.415537,817,-1.0
1653142325.644846,819,42.198429107666016
1653142343.55989,822,6.955585956573486
1653142354.714074,826,3.073418617248535
1653142363.09435,829,3.388596534729004
1653142386.857569,832,47.50443649291992
1653142398.404503,833,4.976243019104004
1653142407.504368,835,14.28316879272461
1653142410.380946,837,-1.0
1653142413.310868,839,-1.0
1653142433.467868,844,4.42616081237793
1653142444.143433,847,17.794771194458008
1653142461.590276,849,3.3648674488067627
1653142510.96987,864,12.18521785736084
1653142534.169467,868,3.3345327377319336
1653142537.835994,870,-0.8987193703651428
1653142538.758125,871,-0.979160726070404
1653142545.438575,875,14.75590991973877
1653142556.677324,877,36.257041931152344
1653142569.681663,881,5.195048809051514
1653142576.559798,883,5.081324577331543
1653142596.447708,885,18.9971981048584
1653142609.995556,888,6.287540912628174
1653142617.049483,890,5.042087078094482
1653142620.18338,891,4.98358678817749
1653142627.592491,893,9.699004173278809
1653142639.957635,897,3.0312914848327637
1653142653.450615,901,4.214724540710449
1653142678.26842,908,2.8350677490234375
1653142680.90948,909,3.2420411109924316
1653142684.555468,910,7.817183494567871
1653142687.693106,911,3.8926548957824707
1653142695.246184,913,5.736400604248047
1653142704.884627,916,3.4356179237365723
1653142707.607442,917,2.7974534034729004
1653142710.449781,918,3.366516590118408
1653142730.046191,921,46.368141174316406
1653142747.362596,922,9.780759811401367
1653142750.716209,923,4.760551452636719
1653142753.571579,924,3.160249948501587
1653142787.509967,932,4.222081661224365
1653142790.56457,933,4.038015365600586
1653142816.319853,936,49.935943603515625
1653142843.933519,943,5.613186836242676
1653142853.803044,946,2.9995179176330566
1653142902.763559,954,12.3319673538208
1653142906.83596,955,8.226729393005371
1653142940.84424,957,83.36532592773438
1653142943.610932,958,3.0694754123687744
1653142946.787682,959,4.31721305847168
1653142965.558414,962,57.728511810302734
1653142975.736895,963,3.5786211490631104
1653142981.46168,965,2.805634021759033
1653142990.773948,967,26.95650291442871
1653143019.515312,972,37.90034103393555
1653143031.205064,973,5.197757720947266
1653143045.46165,977,14.629504203796387
1653143049.036801,978,10.919219017028809
1653143054.719561,979,21.707599639892578
1653143069.244312,980,81.7615966796875
1653143104.19737,983,90.1881103515625
1653143108.357041,984,11.372032165527344
1653143113.804555,985,21.869670867919922
1653143132.632879,988,16.74013900756836
1653143135.530235,989,2.6304984092712402
1653143168.179936,997,4.343681335449219
1653143191.997867,1001,20.748258590698242
1653143201.39067,1003,27.67348861694336
1653143209.989695,1005,7.557535171508789
1653143217.252882,1006,37.57432174682617
1653143229.90872,1009,7.718556880950928
1653143254.079885,1012,3.395223379135132
1653143257.181989,1013,4.468554973602295
1653143260.062056,1014,3.74489688873291
1653143263.056022,1015,4.000264644622803
1653143271.517452,1018,2.8095760345458984
1653143293.109614,1026,3.2636282444000244
1653143298.567275,1028,3.006845712661743
1653143309.576997,1032,3.0861706733703613
1653143312.290376,1033,3.2153818607330322
1653143321.373516,1036,2.6321306228637695
1653143333.20381,1038,9.721922874450684
1653143353.994344,1040,26.519445419311523
1653143391.07712,1045,3.0891714096069336
1653143430.079107,1052,5.094141483306885
1653143434.394187,1053,8.486430168151855
1653143443.915611,1056,3.659224510192871
1653143450.009654,1058,3.712477684020996
1653143474.606816,1064,14.812322616577148
1653143480.855537,1065,27.1342830657959
1653143499.128861,1067,23.320148468017578
1653143503.907799,1069,1.8557504415512085
1653143519.873482,1073,12.49130630493164
1653143546.960443,1077,-1.0
1653143553.618229,1079,35.514404296875
1653143565.961486,1084,5.450995922088623
1653143569.209337,1085,16.045242309570312
1653143569.923371,1086,-1.0
1653143599.433656,1093,39.10325241088867
1653143611.505737,1094,10.022281646728516
1653143644.942014,1100,25.321941375732422
1653143657.915489,1104,8.329285621643066
1653143672.482483,1105,5.0427961349487305
1653143686.335813,1106,78.78312683105469
1653143744.538783,1115,85.722900390625
1653143751.36222,1117,8.839051246643066
1653143764.437565,1120,26.63157844543457
1653143787.17893,1126,24.47210121154785
1653143787.890633,1127,-1.0
1653143804.610771,1131,36.706905364990234
1653143818.559839,1134,66.58004760742188
1653143824.120658,1135,17.851804733276367
1653143839.631118,1136,28.910200119018555
1653143898.52177,1150,-1.0
1653143912.831729,1153,14.53151798248291
1653143922.495585,1156,1.1620161533355713
1653143925.181052,1157,2.5685818195343018
1653143927.914835,1158,2.1893138885498047
1653143952.238093,1161,6.949612617492676
1653143963.519395,1162,80.7475814819336
1653143966.646814,1163,3.6800317764282227
1653144048.179785,1181,36.105594635009766
1653144054.756783,1183,7.833970546722412
1653144058.008227,1184,3.1125168800354004
1653144064.511974,1186,4.295114040374756
1653144096.266473,1187,-1.0
1653144117.341354,1193,-0.9006473422050476
1653144118.065473,1194,-1.0
1653144121.036093,1196,-1.0
1653144129.86409,1198,2.053011894226074
1653144136.222239,1200,1.6016738414764404
1653144145.616808,1202,1.0609800815582275
1653144173.479174,1205,14.449182510375977
1653144188.328876,1207,18.509666442871094
1653144198.041133,1209,24.721553802490234
1653144203.549251,1211,2.6646921634674072
1653144209.102739,1213,1.5410807132720947
1653144214.545329,1215,1.6723486185073853
1653144267.929081,1225,27.181602478027344
1653144275.87476,1229,27.735429763793945
1653144304.540592,1233,9.088327407836914
1653144305.252797,1234,-1.0
1653144305.963804,1235,-1.0
1653144313.217102,1237,34.74070358276367
1653144327.422861,1240,27.275951385498047
1653144340.012975,1243,12.428814888000488
1653144349.207313,1245,4.616522312164307
1653144374.746987,1248,21.2800235748291
1653144400.097891,1254,9.365334510803223
1653144409.032284,1256,17.698450088500977
1653144416.56394,1258,27.185596466064453
1653144421.711888,1259,-1.0
1653144425.351535,1262,-1.0
1653144428.887109,1263,25.190685272216797
1653144429.59768,1264,-1.0
1653144437.008636,1267,26.510452270507812
1653144463.776088,1275,39.609188079833984
1653144473.491309,1280,-1.0
1653144480.234827,1282,28.3614444732666
1653144509.655231,1288,14.593719482421875
1653144526.676203,1292,4.205697536468506
1653144529.520829,1293,3.1321146488189697
1653144532.702599,1294,3.8805277347564697
1653144540.186324,1295,46.32889175415039
1653144571.69237,1301,37.2985954284668
1653144592.146591,1304,20.305564880371094
1653144626.473575,1311,-1.0
1653144629.398623,1313,-1.0
